Title,Description,Preconditions,Test Step #,Test Step Action,Test Step Expected Result,Test Type,Design Technique,API Path,HTTP Method,Priority,Created Date
Negative case - invalid username (EP),Verify error response with invalid username.,None.,1,Send GET request to /user/login with parameters username='invalidUser'&password=validPassword,Response code 400 and error message indicating invalid username/password.,Negative,EP,/user/login,GET,High,2025-11-16T16:05:10.936568
Negative case - invalid password (EP),Verify error response with invalid password.,None.,1,Send GET request to /user/login with parameters username=validUser&password='invalidPassword',Response code 400 and error message indicating invalid username/password.,Negative,EP,/user/login,GET,High,2025-11-16T16:05:10.936573
Negative case - SQL injection in username (Error Guessing),Verify error response when SQL injection is attempted in the username.,None.,1,Send GET request to /user/login with parameters username='admin' OR '1'='1'&password=validPassword,Response code 400 and error message indicating invalid username/password.,Negative,Error Guessing,/user/login,GET,High,2025-11-16T16:05:10.936578
Negative case - XSS in username (Error Guessing),Verify error response when XSS attack is attempted in the username.,None.,1,Send GET request to /user/login with parameters username='<script>alert(1)</script>'&password=validPassword,Response code 400 and error message indicating invalid username/password.,Negative,Error Guessing,/user/login,GET,High,2025-11-16T16:05:10.936584
Negative case - Command injection in password (Error Guessing),Verify error response when command injection is attempted in the password.,None.,1,Send GET request to /user/login with parameters username=validUser&password='; rm -rf /',Response code 400 and error message indicating invalid username/password.,Negative,Error Guessing,/user/login,GET,High,2025-11-16T16:05:10.936590
Negative case - Path traversal in username (Error Guessing),Verify error response when path traversal is attempted in the username.,None.,1,Send GET request to /user/login with parameters username='../../../etc/passwd'&password=validPassword,Response code 400 and error message indicating invalid username/password.,Negative,Error Guessing,/user/login,GET,High,2025-11-16T16:05:10.936595
Negative case - invalid token (Error Guessing),Verify error response when request is made with an invalid token.,User must provide an invalid token.,1,Send GET request to /user/login with parameters username=validUser&password=validPassword and invalid token in header,Response code 401 and error message indicating unauthorized.,Negative,Error Guessing,/user/login,GET,High,2025-11-16T16:05:10.936601
Negative case - missing token (Error Guessing),Verify error response when request is made without a token.,None.,1,Send GET request to /user/login with parameters username=validUser&password=validPassword without token,Response code 401 and error message indicating unauthorized.,Negative,Error Guessing,/user/login,GET,High,2025-11-16T16:05:10.936606
Negative case - expired token (Error Guessing),Verify error response when request is made with an expired token.,User must provide an expired token.,1,Send GET request to /user/login with parameters username=validUser&password=validPassword and expired token in header,Response code 401 and error message indicating unauthorized.,Negative,Error Guessing,/user/login,GET,High,2025-11-16T16:05:10.936611
Negative case - username with special characters (EP),Verify error response when username contains special characters.,None.,1,Send GET request to /user/login with parameters username='user@name'&password=validPassword,Response code 400 and error message indicating invalid username.,Negative,EP,/user/login,GET,High,2025-11-16T16:05:10.936616
Negative case - password with special characters (EP),Verify error response when password contains special characters.,None.,1,Send GET request to /user/login with parameters username=validUser&password='pass@word',Response code 400 and error message indicating invalid password.,Negative,EP,/user/login,GET,High,2025-11-16T16:05:10.936621
Negative case - very long username (BVA),Verify error response when username exceeds maximum length.,None.,1,Send GET request to /user/login with parameters username='a'.repeat(256)&password=validPassword,Response code 400 and error message indicating invalid username.,Negative,BVA,/user/login,GET,High,2025-11-16T16:05:10.936627
Negative case - very long password (BVA),Verify error response when password exceeds maximum length.,None.,1,Send GET request to /user/login with parameters username=validUser&password='p'.repeat(256),Response code 400 and error message indicating invalid password.,Negative,BVA,/user/login,GET,High,2025-11-16T16:05:10.936632
Positive case - valid token with valid username and password (Decision Table Testing),Verify successful login with valid username and password with valid token.,User must be registered with the username 'validUser' and password 'validPassword' and provide a valid token.,1,Send GET request to /user/login with parameters username=validUser&password=validPassword and valid token in header,Response code 200 and a valid token in response body.,Positive,Decision Table Testing,/user/login,GET,High,2025-11-16T16:05:10.936638
Negative case - valid username and password with missing token (Decision Table Testing),Verify error response when valid username and password are provided but token is missing.,None.,1,Send GET request to /user/login with parameters username=validUser&password=validPassword without token,Response code 401 and error message indicating unauthorized.,Negative,Decision Table Testing,/user/login,GET,High,2025-11-16T16:05:10.936643
Negative case - valid username and password with invalid token (Decision Table Testing),Verify error response when valid username and password are provided but token is invalid.,None.,1,Send GET request to /user/login with parameters username=validUser&password=validPassword and invalid token in header,Response code 401 and error message indicating unauthorized.,Negative,Decision Table Testing,/user/login,GET,High,2025-11-16T16:05:10.936648
Negative case - valid username and password with expired token (Decision Table Testing),Verify error response when valid username and password are provided but token is expired.,None.,1,Send GET request to /user/login with parameters username=validUser&password=validPassword and expired token in header,Response code 401 and error message indicating unauthorized.,Negative,Decision Table Testing,/user/login,GET,High,2025-11-16T16:05:10.936653
Positive Case: Successful image upload with valid petId and file,Validate successful image upload with valid petId and a valid file.,User is authenticated and petId exists.,1,Send POST request to /pet/1/uploadImage with file data.,Response code 200 with success message.,Positive,EP,/pet/1/uploadImage,POST,High,2025-11-16T16:05:12.043492
Positive Case: Successful image upload with additionalMetadata,"Validate successful image upload with valid petId, file, and additionalMetadata.",User is authenticated and petId exists.,1,Send POST request to /pet/1/uploadImage with file data and additionalMetadata.,Response code 200 with success message.,Positive,EP,/pet/1/uploadImage,POST,High,2025-11-16T16:05:12.043539
Positive Case: Minimum valid petId,Validate successful image upload with the minimum valid petId.,User is authenticated and petId 1 exists.,1,Send POST request to /pet/1/uploadImage with a valid file.,Response code 200 with success message.,Positive,BVA,/pet/1/uploadImage,POST,Medium,2025-11-16T16:05:12.043556
Positive Case: Maximum valid petId,Validate successful image upload with the maximum valid petId.,User is authenticated and petId is within valid range.,1,Send POST request to /pet/2147483647/uploadImage with a valid file.,Response code 200 with success message.,Positive,BVA,/pet/2147483647/uploadImage,POST,Medium,2025-11-16T16:05:12.043568
Negative Case: Missing required petId,Validate response when petId is missing.,User is authenticated.,1,Send POST request to /pet//uploadImage without petId.,Response code 400 with error message indicating missing petId.,Negative,EP,/pet//uploadImage,POST,High,2025-11-16T16:05:12.043579
Negative Case: Invalid petId (negative),Validate response when petId is a negative integer.,User is authenticated.,1,Send POST request to /pet/-1/uploadImage with a valid file.,Response code 400 with error message indicating invalid petId.,Negative,EP,/pet/-1/uploadImage,POST,High,2025-11-16T16:05:12.043589
Negative Case: Invalid petId (zero),Validate response when petId is zero.,User is authenticated.,1,Send POST request to /pet/0/uploadImage with a valid file.,Response code 400 with error message indicating invalid petId.,Negative,EP,/pet/0/uploadImage,POST,High,2025-11-16T16:05:12.043600
Negative Case: petId exceeds maximum value,Validate response when petId exceeds maximum integer value.,User is authenticated.,1,Send POST request to /pet/2147483648/uploadImage with a valid file.,Response code 400 with error message indicating invalid petId.,Negative,BVA,/pet/2147483648/uploadImage,POST,High,2025-11-16T16:05:12.043610
Negative Case: Invalid data type for petId (string),Validate response when petId is provided as a string.,User is authenticated.,1,Send POST request to /pet/one/uploadImage with a valid file.,Response code 400 with error message indicating invalid petId.,Negative,EP,/pet/one/uploadImage,POST,High,2025-11-16T16:05:12.043620
Negative Case: AdditionalMetadata is too long,Validate response when additionalMetadata exceeds maximum length.,User is authenticated and petId exists.,1,Send POST request to /pet/1/uploadImage with additionalMetadata longer than allowed.,Response code 400 with error message indicating additionalMetadata is too long.,Negative,BVA,/pet/1/uploadImage,POST,Medium,2025-11-16T16:05:12.043631
Negative Case: Empty additionalMetadata,Validate response when additionalMetadata is empty.,User is authenticated and petId exists.,1,Send POST request to /pet/1/uploadImage with empty additionalMetadata.,Response code 200 with success message.,Negative,EP,/pet/1/uploadImage,POST,Medium,2025-11-16T16:05:12.043641
Negative Case: Null additionalMetadata,Validate response when additionalMetadata is null.,User is authenticated and petId exists.,1,Send POST request to /pet/1/uploadImage with null additionalMetadata.,Response code 200 with success message.,Negative,EP,/pet/1/uploadImage,POST,Medium,2025-11-16T16:05:12.043651
Negative Case: Invalid file type (text),Validate response when a non-image file type is uploaded.,User is authenticated and petId exists.,1,Send POST request to /pet/1/uploadImage with a text file.,Response code 400 with error message indicating invalid file type.,Negative,Error Guessing,/pet/1/uploadImage,POST,High,2025-11-16T16:05:12.043661
Negative Case: Missing file parameter,Validate response when file parameter is not provided.,User is authenticated and petId exists.,1,Send POST request to /pet/1/uploadImage without file parameter.,Response code 400 with error message indicating missing file.,Negative,EP,/pet/1/uploadImage,POST,High,2025-11-16T16:05:12.043672
Negative Case: Invalid token (missing),Validate response when request is sent without authorization token.,No token provided.,1,Send POST request to /pet/1/uploadImage without authorization token.,Response code 401 with error message indicating unauthorized.,Negative,Error Guessing,/pet/1/uploadImage,POST,High,2025-11-16T16:05:12.043682
Negative Case: Invalid token (expired),Validate response when request is sent with an expired token.,User has an expired token.,1,Send POST request to /pet/1/uploadImage with expired authorization token.,Response code 401 with error message indicating unauthorized.,Negative,Error Guessing,/pet/1/uploadImage,POST,High,2025-11-16T16:05:12.043688
Negative Case: Invalid token (invalid),Validate response when request is sent with an invalid token.,User has an invalid token.,1,Send POST request to /pet/1/uploadImage with invalid authorization token.,Response code 401 with error message indicating unauthorized.,Negative,Error Guessing,/pet/1/uploadImage,POST,High,2025-11-16T16:05:12.043694
Negative Case: Unauthorized access (insufficient rights),Validate response when user does not have permission to write pets.,User is authenticated but lacks write:pets scope.,1,Send POST request to /pet/1/uploadImage with valid token but insufficient rights.,Response code 403 with error message indicating forbidden.,Negative,Error Guessing,/pet/1/uploadImage,POST,High,2025-11-16T16:05:12.043700
Negative Case: Operation on non-existing petId,Validate response when trying to upload an image for a non-existing pet.,User is authenticated and petId does not exist.,1,Send POST request to /pet/999999/uploadImage with a valid file.,Response code 404 with error message indicating pet not found.,Negative,EP,/pet/999999/uploadImage,POST,High,2025-11-16T16:05:12.043707
Negative Case: Duplicate image upload,Validate response when trying to upload an image that already exists.,User is authenticated and petId exists with an existing image.,1,Send POST request to /pet/1/uploadImage with a file that has already been uploaded.,Response code 409 with error message indicating conflict.,Negative,Error Guessing,/pet/1/uploadImage,POST,Medium,2025-11-16T16:05:12.043714
Negative Case: Path Traversal attempt,Validate response when attempting path traversal in file upload.,User is authenticated and petId exists.,1,Send POST request to /pet/1/uploadImage with file name '../../../etc/passwd'.,Response code 400 with error message indicating invalid file.,Negative,Error Guessing,/pet/1/uploadImage,POST,High,2025-11-16T16:05:12.043720
Negative Case: SQL injection attempt in additionalMetadata,Validate response when SQL injection is attempted in additionalMetadata.,User is authenticated and petId exists.,1,Send POST request to /pet/1/uploadImage with additionalMetadata set to '1; DROP TABLE users;'.,Response code 400 with error message indicating invalid input.,Negative,Error Guessing,/pet/1/uploadImage,POST,High,2025-11-16T16:05:12.043727
Negative Case: XSS attack attempt in additionalMetadata,Validate response when XSS attack is attempted in additionalMetadata.,User is authenticated and petId exists.,1,Send POST request to /pet/1/uploadImage with additionalMetadata set to '<script>alert(1)</script>'.,Response code 400 with error message indicating invalid input.,Negative,Error Guessing,/pet/1/uploadImage,POST,High,2025-11-16T16:05:12.043734
Positive case: Update user with valid data (valid username),Updating user with valid username and valid user data.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with valid body data.,"Response code 200, user updated successfully.",Positive,EP,/user/validUser,PUT,High,2025-11-16T16:05:12.158256
Positive case: Update user with valid 'firstName',Updating user with valid first name.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with body containing valid 'firstName'.,"Response code 200, user updated successfully.",Positive,EP,/user/validUser,PUT,High,2025-11-16T16:05:12.158304
Positive case: Update user with valid 'userStatus',Updating user with valid user status.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with body containing valid 'userStatus'.,"Response code 200, user updated successfully.",Positive,EP,/user/validUser,PUT,High,2025-11-16T16:05:12.158320
Positive case: Update user with maximum length 'username',Updating user with maximum length username.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with username of maximum allowed length.,"Response code 200, user updated successfully.",Positive,BVA,/user/validUser,PUT,Medium,2025-11-16T16:05:12.158332
Negative case: Update user with invalid username (not found),Attempting to update a user with a non-existent username.,User does not exist.,1,Send PUT request to /user/nonExistentUser with valid body data.,"Response code 404, User not found.",Negative,EP,/user/nonExistentUser,PUT,High,2025-11-16T16:05:12.158344
Negative case: Update user without authorization,Attempting to update user without a token.,User is not authenticated.,1,Send PUT request to /user/validUser without an authorization token.,"Response code 401, unauthorized.",Negative,Error Guessing,/user/validUser,PUT,High,2025-11-16T16:05:12.158358
Negative case: Update user with invalid email format,Attempting to update user with invalid email format.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with body containing invalid email format.,"Response code 400, Invalid user supplied.",Negative,EP,/user/validUser,PUT,High,2025-11-16T16:05:12.158370
Negative case: Update user with empty username,Attempting to update user with an empty username.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/ with empty username.,"Response code 404, User not found.",Negative,EP,/user/,PUT,High,2025-11-16T16:05:12.158382
Negative case: Update user with invalid token,Attempting to update user with an invalid authorization token.,User with username 'validUser' exists.,1,Send PUT request to /user/validUser with invalid authorization token.,"Response code 401, unauthorized.",Negative,Error Guessing,/user/validUser,PUT,High,2025-11-16T16:05:12.158393
Negative case: Update user with expired token,Attempting to update user with an expired authorization token.,User with username 'validUser' exists.,1,Send PUT request to /user/validUser with expired authorization token.,"Response code 401, unauthorized.",Negative,Error Guessing,/user/validUser,PUT,High,2025-11-16T16:05:12.158404
Negative case: Update user with missing required fields,Attempting to update user without required fields in the body.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with empty body.,"Response code 400, Invalid user supplied.",Negative,EP,/user/validUser,PUT,High,2025-11-16T16:05:12.158416
Negative case: Update user with userStatus less than 0,Attempting to update user with userStatus less than 0.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with userStatus -1.,"Response code 400, Invalid user supplied.",Negative,BVA,/user/validUser,PUT,Medium,2025-11-16T16:05:12.158427
Negative case: Update user with userStatus greater than 2147483647,Attempting to update user with userStatus greater than the maximum value.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with userStatus 2147483648.,"Response code 400, Invalid user supplied.",Negative,BVA,/user/validUser,PUT,Medium,2025-11-16T16:05:12.158437
Negative case: Update user with null firstName,Attempting to update user with null firstName.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with firstName set to null.,"Response code 400, Invalid user supplied.",Negative,EP,/user/validUser,PUT,Medium,2025-11-16T16:05:12.158448
Negative case: Update user with firstName shorter than 1 character,Attempting to update user with firstName shorter than the minimum length.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with firstName set to ''.,"Response code 400, Invalid user supplied.",Negative,BVA,/user/validUser,PUT,Medium,2025-11-16T16:05:12.158458
Negative case: Update user with invalid phone number format,Attempting to update user with invalid phone number format.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with invalid phone number.,"Response code 400, Invalid user supplied.",Negative,Error Guessing,/user/validUser,PUT,High,2025-11-16T16:05:12.158470
Negative case: Update user with SQL injection in username,Attempting to update user with SQL injection in username.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with username containing SQL injection.,"Response code 400, Invalid user supplied.",Negative,Error Guessing,/user/validUser,PUT,High,2025-11-16T16:05:12.158482
Negative case: Update user with XSS in firstName,Attempting to update user with XSS in firstName.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with firstName containing XSS.,"Response code 400, Invalid user supplied.",Negative,Error Guessing,/user/validUser,PUT,High,2025-11-16T16:05:12.158492
Negative case: Update user with command injection in password,Attempting to update user with command injection in password.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with password containing command injection.,"Response code 400, Invalid user supplied.",Negative,Error Guessing,/user/validUser,PUT,High,2025-11-16T16:05:12.158504
Negative case: Update user with path traversal in username,Attempting to update user with path traversal in username.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with username containing path traversal.,"Response code 400, Invalid user supplied.",Negative,Error Guessing,/user/validUser,PUT,High,2025-11-16T16:05:12.158515
Negative case: Update user with special characters in firstName,Attempting to update user with special characters in firstName.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with firstName containing special characters.,"Response code 400, Invalid user supplied.",Negative,Error Guessing,/user/validUser,PUT,Medium,2025-11-16T16:05:12.158527
Negative case: Update user with invalid UUID in id,Attempting to update user with invalid UUID in id.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with id set to invalid UUID.,"Response code 400, Invalid user supplied.",Negative,Error Guessing,/user/validUser,PUT,Medium,2025-11-16T16:05:12.158537
Negative case: Update user with too long username,Attempting to update user with username longer than maximum length.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/validUser with username longer than maximum allowed length.,"Response code 400, Invalid user supplied.",Negative,BVA,/user/validUser,PUT,Medium,2025-11-16T16:05:12.158547
Negative case: Update user with missing username,Attempting to update user with missing username in the path.,User with username 'validUser' exists and is logged in.,1,Send PUT request to /user/ with missing username in path.,"Response code 404, User not found.",Negative,EP,/user/,PUT,High,2025-11-16T16:05:12.158557
"Positive case: Update pet with valid petId, name, and status (EP)","Updating a pet with valid petId, name, and status.",Pet with given petId exists.,1,Send POST request to /pet/1 with form data: name='Buddy' and status='available',Response code 200 and pet details updated.,Positive,EP,/pet/{petId},POST,High,2025-11-16T16:05:15.458706
Positive case: Update pet with only valid name (BVA),Updating a pet with valid petId and only name.,Pet with given petId exists.,1,Send POST request to /pet/2 with form data: name='Max',Response code 200 and pet name updated to Max.,Positive,BVA,/pet/{petId},POST,High,2025-11-16T16:05:15.458743
Positive case: Update pet with valid status (BVA),Updating a pet with valid petId and only status.,Pet with given petId exists.,1,Send POST request to /pet/3 with form data: status='sold',Response code 200 and pet status updated to sold.,Positive,BVA,/pet/{petId},POST,High,2025-11-16T16:05:15.458749
Negative case: Update pet with non-existing petId (EP),Trying to update a pet with a non-existing petId.,No pet exists with given petId.,1,Send POST request to /pet/999999 with form data: name='Buddy' and status='available',Response code 404 and error message.,Negative,EP,/pet/{petId},POST,High,2025-11-16T16:05:15.458755
Negative case: Invalid petId (BVA),Testing invalid petId values.,,1,Send POST request to /pet/0 with form data: name='Buddy' and status='available',Response code 405 and error 'Invalid input'.,Negative,BVA,/pet/{petId},POST,High,2025-11-16T16:05:15.458759
,,,2,Send POST request to /pet/-1 with form data: name='Buddy' and status='available',Response code 405 and error 'Invalid input'.,Negative,BVA,/pet/{petId},POST,High,
,,,3,Send POST request to /pet/1.5 with form data: name='Buddy' and status='available',Response code 405 and error 'Invalid input'.,Negative,BVA,/pet/{petId},POST,High,
,,,4,Send POST request to /pet/string with form data: name='Buddy' and status='available',Response code 405 and error 'Invalid input'.,Negative,BVA,/pet/{petId},POST,High,
Negative case: Empty name field (EP),Testing update with empty name field.,Pet with given petId exists.,1,Send POST request to /pet/1 with form data: name='' and status='available',Response code 405 and error 'Invalid input'.,Negative,EP,/pet/{petId},POST,Medium,2025-11-16T16:05:15.458764
Negative case: Null name field (EP),Testing update with null name field.,Pet with given petId exists.,1,Send POST request to /pet/1 with form data: name=null and status='available',Response code 405 and error 'Invalid input'.,Negative,EP,/pet/{petId},POST,Medium,2025-11-16T16:05:15.458769
Negative case: Too long name (BVA),Testing update with name longer than allowed length.,Pet with given petId exists.,1,Send POST request to /pet/1 with form data: name='A very long name that exceeds the character limit',Response code 405 and error 'Invalid input'.,Negative,BVA,/pet/{petId},POST,Medium,2025-11-16T16:05:15.458773
Negative case: Special characters in name (Error Guessing),Testing update with special characters in name.,Pet with given petId exists.,1,"Send POST request to /pet/1 with form data: name='<script>alert(""XSS"")</script>' and status='available'",Response code 405 and error 'Invalid input'.,Negative,Error Guessing,/pet/{petId},POST,Medium,2025-11-16T16:05:15.458778
,,,2,"Send POST request to /pet/1 with form data: name='"" OR '1'='1""' and status='available'",Response code 405 and error 'Invalid input'.,Negative,Error Guessing,/pet/{petId},POST,Medium,
Negative case: Invalid status value (EP),Testing update with invalid status value.,Pet with given petId exists.,1,Send POST request to /pet/1 with form data: name='Buddy' and status='invalid_status',Response code 405 and error 'Invalid input'.,Negative,EP,/pet/{petId},POST,Medium,2025-11-16T16:05:15.458782
Negative case: Empty status field (EP),Testing update with empty status field.,Pet with given petId exists.,1,Send POST request to /pet/1 with form data: name='Buddy' and status='',Response code 405 and error 'Invalid input'.,Negative,EP,/pet/{petId},POST,Medium,2025-11-16T16:05:15.458788
Negative case: Null status field (EP),Testing update with null status field.,Pet with given petId exists.,1,Send POST request to /pet/1 with form data: name='Buddy' and status=null,Response code 405 and error 'Invalid input'.,Negative,EP,/pet/{petId},POST,Medium,2025-11-16T16:05:15.458792
Negative case: Too long status (BVA),Testing update with status longer than allowed length.,Pet with given petId exists.,1,Send POST request to /pet/1 with form data: name='Buddy' and status='A very long status that exceeds the character limit',Response code 405 and error 'Invalid input'.,Negative,BVA,/pet/{petId},POST,Medium,2025-11-16T16:05:15.458797
Negative case: Invalid authorization token (Error Guessing),Testing update with invalid authorization token.,Pet with given petId exists.,1,Send POST request to /pet/1 with invalid token in Authorization header and form data: name='Buddy' and status='available',Response code 401 and error 'Unauthorized'.,Negative,Error Guessing,/pet/{petId},POST,High,2025-11-16T16:05:15.458801
Negative case: Missing authorization token (Error Guessing),Testing update without an authorization token.,Pet with given petId exists.,1,Send POST request to /pet/1 without Authorization header and form data: name='Buddy' and status='available',Response code 401 and error 'Unauthorized'.,Negative,Error Guessing,/pet/{petId},POST,High,2025-11-16T16:05:15.458805
Negative case: Missing required petId (EP),Testing update without petId.,,1,Send POST request to /pet/ without petId and form data: name='Buddy' and status='available',Response code 404 and error 'Not Found'.,Negative,EP,/pet/{petId},POST,High,2025-11-16T16:05:15.458810
Negative case: Unauthorized action (Error Guessing),Testing update with valid token but without required permissions.,Pet with given petId exists.,1,Send POST request to /pet/1 with valid token without write permission in Authorization header and form data: name='Buddy' and status='available',Response code 403 and error 'Forbidden'.,Negative,Error Guessing,/pet/{petId},POST,High,2025-11-16T16:05:15.458815
Negative case: Stress test with very large petId (BVA),Testing update with a very large petId.,Pet with given petId exists.,1,Send POST request to /pet/999999999999999999 with form data: name='Buddy' and status='available',Response code 405 and error 'Invalid input'.,Negative,BVA,/pet/{petId},POST,Medium,2025-11-16T16:05:15.458820
Negative case: SQL injection in name field (Error Guessing),Testing update with SQL injection in name field.,Pet with given petId exists.,1,Send POST request to /pet/1 with form data: name='1; DROP TABLE pets;' and status='available',Response code 405 and error 'Invalid input'.,Negative,Error Guessing,/pet/{petId},POST,Medium,2025-11-16T16:05:15.458825
Negative case: XSS attack in name field (Error Guessing),Testing update with XSS attack in name field.,Pet with given petId exists.,1,Send POST request to /pet/1 with form data: name='<script>alert(1)</script>' and status='available',Response code 405 and error 'Invalid input'.,Negative,Error Guessing,/pet/{petId},POST,Medium,2025-11-16T16:05:15.458829
Negative case: Command injection in name field (Error Guessing),Testing update with command injection in name field.,Pet with given petId exists.,1,Send POST request to /pet/1 with form data: name='; rm -rf /' and status='available',Response code 405 and error 'Invalid input'.,Negative,Error Guessing,/pet/{petId},POST,Medium,2025-11-16T16:05:15.458834
Negative case: Path traversal in name field (Error Guessing),Testing update with path traversal in name field.,Pet with given petId exists.,1,Send POST request to /pet/1 with form data: name='../../../etc/passwd' and status='available',Response code 405 and error 'Invalid input'.,Negative,Error Guessing,/pet/{petId},POST,Medium,2025-11-16T16:05:15.458838
Negative case: Unicode characters in name field (Error Guessing),Testing update with unicode characters in name field.,Pet with given petId exists.,1,Send POST request to /pet/1 with form data: name='🐶' and status='available',Response code 405 and error 'Invalid input'.,Negative,Error Guessing,/pet/{petId},POST,Medium,2025-11-16T16:05:15.458842
Positive Case - Create User with Valid Data,Send a request to create a user with valid data.,User is logged in and authorized.,1,Send request with valid user data.,Response code 200 and successful operation message.,Positive,EP,/user,POST,High,2025-11-16T16:05:19.163087
Positive Case - Create User with Minimum Required Fields,Send a request to create a user with minimum required fields.,User is logged in and authorized.,1,Send request with only 'username' and 'password'.,Response code 200 and successful operation message.,Positive,EP,/user,POST,High,2025-11-16T16:05:19.163123
Positive Case - Create User with All Optional Fields,Send a request to create a user with all optional fields filled.,User is logged in and authorized.,1,"Send request with all fields: id, username, firstName, lastName, email, password, phone, userStatus.",Response code 200 and successful operation message.,Positive,EP,/user,POST,Medium,2025-11-16T16:05:19.163131
Negative Case - Create User with Missing Required Fields,Send a request without required fields.,User is logged in and authorized.,1,Send request with empty body.,Response code 400 and error message indicating missing fields.,Negative,EP,/user,POST,High,2025-11-16T16:05:19.163138
Negative Case - Create User with Invalid Username,Send a request with invalid username (empty string).,User is logged in and authorized.,1,Send request with username as an empty string.,Response code 400 and error message indicating invalid username.,Negative,EP,/user,POST,High,2025-11-16T16:05:19.163145
Negative Case - Create User with Invalid Email Format,Send a request with invalid email format.,User is logged in and authorized.,1,Send request with email as 'invalidemail.com'.,Response code 400 and error message indicating invalid email format.,Negative,Error Guessing,/user,POST,High,2025-11-16T16:05:19.163152
Negative Case - Create User with Invalid User Status,Send a request with userStatus set to an invalid value.,User is logged in and authorized.,1,Send request with userStatus set to -1.,Response code 400 and error message indicating invalid userStatus.,Negative,EP,/user,POST,High,2025-11-16T16:05:19.163166
Negative Case - Create User with SQL Injection in Username,Send a request with SQL injection in username.,User is logged in and authorized.,1,Send request with username as 'admin' OR '1'='1'.,Response code 400 and error message indicating invalid username.,Negative,Error Guessing,/user,POST,High,2025-11-16T16:05:19.163172
Negative Case - Create User with XSS in First Name,Send a request with XSS in first name.,User is logged in and authorized.,1,"Send request with firstName as '<script>alert(""XSS"")</script>'.",Response code 400 and error message indicating invalid firstName.,Negative,Error Guessing,/user,POST,High,2025-11-16T16:05:19.163181
Negative Case - Create User with Command Injection in Password,Send a request with command injection in password.,User is logged in and authorized.,1,Send request with password as 'mypassword; rm -rf /'.,Response code 400 and error message indicating invalid password.,Negative,Error Guessing,/user,POST,High,2025-11-16T16:05:19.163187
Negative Case - Create User with Path Traversal in Username,Send a request with path traversal in username.,User is logged in and authorized.,1,Send request with username as '../../../etc/passwd'.,Response code 400 and error message indicating invalid username.,Negative,Error Guessing,/user,POST,High,2025-11-16T16:05:19.163194
Negative Case - Create User with Invalid Email (No '@'),Send a request with email missing '@'.,User is logged in and authorized.,1,Send request with email as 'invalidemail.com'.,Response code 400 and error message indicating invalid email format.,Negative,Error Guessing,/user,POST,High,2025-11-16T16:05:19.163199
Negative Case - Create User with Invalid Phone Number Format,Send a request with an invalid phone number format.,User is logged in and authorized.,1,Send request with phone as '123-abc-4567'.,Response code 400 and error message indicating invalid phone format.,Negative,Error Guessing,/user,POST,Medium,2025-11-16T16:05:19.163213
Negative Case - Create User with Empty Password,Send a request with an empty password.,User is logged in and authorized.,1,Send request with password as an empty string.,Response code 400 and error message indicating invalid password.,Negative,EP,/user,POST,High,2025-11-16T16:05:19.163220
Negative Case - Create User with Phone Number Too Long,Send a request with phone number exceeding maximum length.,User is logged in and authorized.,1,Send request with phone as '12345678901234567890'.,Response code 400 and error message indicating phone number too long.,Negative,BVA,/user,POST,Medium,2025-11-16T16:05:19.163225
Negative Case - Create User with Username Too Short,Send a request with username shorter than minimum length.,User is logged in and authorized.,1,Send request with username as 'a'.,Response code 400 and error message indicating username too short.,Negative,BVA,/user,POST,Medium,2025-11-16T16:05:19.163231
Negative Case - Create User with Username Too Long,Send a request with username exceeding maximum length.,User is logged in and authorized.,1,Send request with username as 'thisusernameiswaytoolongtobevalid'.,Response code 400 and error message indicating username too long.,Negative,BVA,/user,POST,Medium,2025-11-16T16:05:19.163237
Negative Case - Create User with Invalid User ID (Negative Number),Send a request with user ID set to a negative number.,User is logged in and authorized.,1,Send request with id set to -10.,Response code 400 and error message indicating invalid user ID.,Negative,EP,/user,POST,Medium,2025-11-16T16:05:19.163243
Negative Case - Create User with Invalid User ID (Very Large Number),Send a request with user ID set to a very large number.,User is logged in and authorized.,1,Send request with id set to 99999999999.,Response code 400 and error message indicating invalid user ID.,Negative,BVA,/user,POST,Medium,2025-11-16T16:05:19.163256
